,codigo_anvisa,nome_produto,numero_registro,numero_processo,principio_ativo,categoria_regulatoria,cnpj_laboratorio,razao_social_laboratorio
0,2762872,18F-PSMA1007,,25351093523202175,AMESPRO FLUORNICOTINAMIDA (18 F),Radiofármaco,8820007000161,CMR CAMPINAS PHARMA LTDA
1,765613,A SAÚDE DA MULHER,102351059.0,25351668917201032,"TINTURA AGONIADA PLUMÉRIA, SALICILATO DE SÓDIO, EXTRATO FLUIDO DE PASSIFLORA ALATA, EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA",Novo,57507378000365,EMS S/A
2,3548748,AAS,178170936.0,25351497156202266,ACIDO ACETILSALICILICO,Similar,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
3,3529192,AAS PROTECT,178170931.0,25351497237202266,ÁCIDO ACETILSALICÍLICO,Similar,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
4,428320,ABC,106890153.0,25351141033200572,CLOTRIMAZOL,Similar,92695691000103,KLEY HERTZ FARMACEUTICA S.A
5,70669,ABCLER ABNAT,144930011.0,253510001840168,"DL-METIONINA, levometionina, racemetionina, BETAÍNA, CITRATO DE COLINA",Similar,1858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
6,70344,ABERALGINA,144930010.0,253510299080047,DIPIRONA,Similar,1858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
7,3663301,ABEVMY,167130002.0,25351585470202386,BEVACIZUMABE,Biológico,5215461000103,EQUILIBRIO COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA EPP
8,930,ABLOK,109740100.0,250000035789980,ATENOLOL,Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
9,938,ABLOK PLUS,109740092.0,250000209279973,"ATENOLOL, CLORTALIDONA",Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
10,1477421,ABMETHA,102980576.0,25351894251202042,acetato de abiraterona,Similar,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
11,1146549,ABRETIA,103900192.0,25351567981201697,CLORIDRATO DE DULOXETINA,Similar,33349473000158,FARMOQUÍMICA S/A
12,921521,ABRIFIT,154230216.0,25351356211201368,HEDERA HELIX L.,Fitoterápico,3485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
