codigo_anvisa,nome_produto,numero_registro,numero_processo,principio_ativo,categoria_regulatoria,cnpj_laboratorio,razao_social_laboratorio
2762872,18F-PSMA1007,,25351093523202175,AMESPRO FLUORNICOTINAMIDA (18 F),Radiofármaco,08820007000161,CMR CAMPINAS PHARMA LTDA
765613,A SAÚDE DA MULHER,102351059,25351668917201032,"TINTURA AGONIADA PLUMÉRIA, SALICILATO DE SÓDIO, EXTRATO FLUIDO DE PASSIFLORA ALATA, EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA",Novo,57507378000365,EMS S/A
3548748,AAS,178170936,25351497156202266,ACIDO ACETILSALICILICO,Similar,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
3529192,AAS PROTECT,178170931,25351497237202266,ÁCIDO ACETILSALICÍLICO,Similar,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
428320,ABC,106890153,25351141033200572,CLOTRIMAZOL,Similar,92695691000103,KLEY HERTZ FARMACEUTICA S.A
70669,ABCLER ABNAT,144930011,253510001840168,"DL-METIONINA, levometionina, racemetionina, BETAÍNA, CITRATO DE COLINA",Similar,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
70344,ABERALGINA,144930010,253510299080047,DIPIRONA,Similar,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
3663301,ABEVMY,167130002,25351585470202386,BEVACIZUMABE,Biológico,05215461000103,EQUILIBRIO COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA EPP
930,ABLOK,109740100,250000035789980,ATENOLOL,Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
938,ABLOK PLUS,109740092,250000209279973,"ATENOLOL, CLORTALIDONA",Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
1477421,ABMETHA,102980576,25351894251202042,acetato de abiraterona,Similar,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
1146549,ABRETIA,103900192,25351567981201697,CLORIDRATO DE DULOXETINA,Similar,33349473000158,FARMOQUÍMICA S/A
921521,ABRIFIT,154230216,25351356211201368,HEDERA HELIX L.,Fitoterápico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
921521,ABRIFIT,154230216,25351356211201368,HEDERA HELIX L.,Fitoterápico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
133259,ABRILAR,103900141,25351164045200222,"HEDERA HELIX (HERA), HEDERA HELIX L.",Fitoterápico,33349473000158,FARMOQUÍMICA S/A
133259,ABRILAR,103900141,25351164045200222,"HEDERA HELIX (HERA), HEDERA HELIX L.",Fitoterápico,33349473000158,FARMOQUÍMICA S/A
3578185,ABRYFLUI,144930062,25351584849202298,HEDERA HELIX L.,Fitoterápico,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
3578185,ABRYFLUI,144930062,25351584849202298,HEDERA HELIX L.,Fitoterápico,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
3648700,ABRYSVO,121100498,25351566180202333,VACINA VÍRUS SINCICIAL RESPIRATÓRIO A E B (RECOMBINANTE),Biológico,61072393000133,PFIZER BRASIL LTDA
1983998,ACALMILFITO,118190216,25351963576202082,"VALERIANA OFFICINALIS L., CRATAEGUS RHIPIDOPHYLLA GAND., Passiflora incarnata L.",Fitoterápico,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
1983998,ACALMILFITO,118190216,25351963576202082,"VALERIANA OFFICINALIS L., CRATAEGUS RHIPIDOPHYLLA GAND., Passiflora incarnata L.",Fitoterápico,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
865889,ACEBROFILINA,155840398,25351525180201119,ACEBROFILINA,Genérico,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
522573,ACEBROFILINA,154230123,25351120208200770,ACEBROFILINA,Genérico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
495345,ACEBROFILINA,125680159,25351368763200608,ACEBROFILINA,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
554419,ACECLO-GRAN,167730065,25351607791200729,ACECLOFENACO,Similar,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
669809,ACECLOFENACO,102351053,25351730441200914,ACECLOFENACO,Genérico,57507378000365,EMS S/A
492492,ACECLOFENACO,105830541,25351429196200665,ACECLOFENACO,Genérico,45992062000165,GERMED FARMACEUTICA LTDA
671005,ACECLOFENACO,105830742,25351745914200979,ACECLOFENACO,Genérico,45992062000165,GERMED FARMACEUTICA LTDA
3283858,ACECLOFENACO,118190282,25351062985202221,ACECLOFENACO,Genérico,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
137495,ACECLOFENACO,123520100,253510081970284,ACECLOFENACO,Genérico,73663650000190,RANBAXY FARMACÊUTICA LTDA
676509,ACECLOFENACO,103920172,25351047703201011,ACECLOFENACO,Genérico,30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
